trial,t_us,phase,x_cm,y_cm,ax,ay,az,,,,,
1,2634184,2,12.5,9.5,1944,16156,-1712,,,,,
1,2636184,2,12.5,9.5,1728,16200,-1848,,,,,
1,2639184,2,12.5,9.5,1424,16180,-1880,,,,,
1,2641184,2,12.5,9.5,1740,16176,-1640,,,,,
1,2644184,2,12.5,9.5,1780,16172,-1672,,,,,
1,2646184,2,12.5,9.5,1272,16044,-1968,,,,,
1,2649184,2,12.5,9.5,1728,16240,-1664,,,,,
1,2651184,2,12.5,9.5,1476,16188,-1764,,,,,
1,2654184,2,12.5,9.5,1724,16276,-1736,,,,,
1,2656184,2,12.5,9.5,1536,16136,-1764,,,,,
1,2659184,2,12.5,9.5,1432,16216,-1720,,,,,
1,2661184,2,12.5,9.5,1784,16180,-1796,,,,,
1,2664183,2,12.5,9.5,1376,16044,-1608,,,,,
1,2666184,2,12.5,9.5,1888,16224,-1840,,,,,
1,2669184,2,12.5,9.5,1704,16092,-1748,,,,,
1,2671184,2,12.5,9.5,1648,16288,-1720,,,,,
1,2674184,2,12.5,9.5,1492,16096,-1712,,,,,
1,2676184,2,12.5,9.5,2104,16232,-1572,,,,,
1,2679184,2,12.5,9.5,1780,16324,-1760,,,,,
1,2681184,2,12.5,9.5,1784,16224,-1616,,,,,
1,2684184,2,12.5,9.5,1784,16340,-1536,,,,,
1,2686184,2,12.5,9.5,2052,16276,-1688,,,,,
1,2689184,2,12.5,9.5,1856,16264,-1596,,,,,
1,2691183,2,12.5,9.5,1560,16340,-1668,,,,,
1,2694184,2,12.5,9.5,1712,16256,-1704,,,,,
1,2696184,2,12.5,9.5,1616,16224,-1576,,,,,
1,2699184,2,12.5,9.5,2240,16296,-1604,,,,,
1,2701184,2,12.5,9.5,876,16112,-1888,,,,,
1,2704184,2,12.5,9.5,1508,16040,-1888,,,,,
1,2706184,2,12.5,9.5,1728,16188,-1812,,,,,
1,2709184,2,12.5,9.5,1412,16128,-1720,,,,,
1,2711184,2,12.5,9.5,1804,16120,-1672,,,,,
1,2714184,2,12.5,9.5,1388,16052,-1796,,,,,
1,2716184,2,12.5,9.5,2060,16272,-1644,,,,,
1,2719184,2,12.5,9.5,1492,16140,-1600,,,,,
1,2721183,2,12.5,9.5,1656,16196,-1736,,,,,
1,2724184,2,12.5,9.5,1880,16140,-1684,,,,,
1,2726184,2,12.5,9.5,1724,16312,-1648,,,,,
1,2729184,2,12.5,9.5,1576,16224,-1660,,,,,
1,2731184,2,12.5,9.5,1524,16264,-1452,,,,,
1,2734184,2,12.5,9.5,1832,16276,-1692,,,,,
