t_us,phase,ax,ay,az
1238457,1,3128,16620,1736
1240957,1,2168,13408,4220
1243457,1,2764,18044,-824
1245957,1,-1284,15468,404
1248457,1,1572,16816,200
1250958,1,5940,15216,1284
1253457,1,2180,15468,724
1255958,1,4028,15392,1256
1258458,1,3716,15300,468
1260957,1,396,17500,-2576
1263458,1,4744,14632,1728
1265957,1,-1384,16788,-2908
1268458,1,2972,14764,836
1270957,1,-1500,16320,-2756
1273458,1,3236,16992,-1692
1275957,1,-1200,15596,-2336
1278456,1,76,17016,-2244
1280957,1,4088,17316,-2524
1283457,1,2600,15540,-216
1285957,1,584,15964,-1456
1288457,1,4196,17480,-1032
1290958,1,5516,15168,1500
1293457,1,-120,16628,-1184
1295957,1,-816,16080,-1732
1298456,1,952,16224,-564
1300958,1,4264,14884,1832
1303457,1,-1444,18396,-3440
1305955,2,-1588,16864,-2416
1308456,2,5384,15456,1032
1310956,2,-444,18048,-3956
1313456,2,5540,14792,1212
1315955,2,-2516,15964,-3200
1318456,2,3560,15820,168
1320956,2,604,15992,-980
1323456,2,4984,17072,-232
1325956,2,-1044,15604,-992
1328456,2,-2476,17040,-2092
1330956,2,4988,16312,684
1333456,2,2932,17388,-588
1335955,2,116,16024,-1304
1338456,2,2632,16448,-720
1340956,2,4408,16768,-1844
1343456,2,1124,15792,-1992
1345956,2,1892,15908,-2704
1348456,2,1948,16248,-2996
1350955,2,1700,15896,-2868
1353455,2,2360,15720,-1768
1355955,2,1320,15752,-2192
1358456,2,612,15992,-1868
1360956,2,872,16164,-2036
1363456,2,2388,16384,-1276
1365955,2,2792,16480,-1116
1368456,2,624,16564,-1760
1370956,2,2660,16736,-1636
1373456,2,3184,16164,-1068
1375956,2,3036,16524,-1428
1378456,2,1864,16280,-1760
1380956,2,1872,16028,-1576
1383456,2,2516,16220,-1396
1385956,2,1092,16156,-1612
1388456,2,108,16020,-1908
1390956,2,1296,15824,-1028
1393456,2,2240,16036,-620
1395956,2,1724,16136,-808
1398456,2,1356,16112,-812
1400955,2,2932,16380,-540
1403455,2,3592,16352,-472
1405955,2,2392,16404,-824
1408456,2,1928,16204,-1096
1410956,2,2280,15912,-892
1413456,2,2388,15996,-1092
1415955,2,672,15876,-1688
1418456,2,580,15848,-2040
1420956,2,1056,15788,-2104
1423456,2,1452,15992,-2320
1425956,2,1412,15876,-2116
1428456,2,1504,16200,-2256
1430956,2,2340,16240,-1788
1433456,2,2712,16252,-1988
1435956,2,2528,16408,-1672
1438456,2,1828,16432,-1736
1440956,2,2064,16440,-1344
1443456,2,1820,16364,-1372
1445956,2,1724,16296,-1148
1448456,2,1188,16112,-1288
1450955,2,1316,16092,-1528
1453455,2,1944,16132,-1572
1455955,2,2264,16116,-1440
1458456,2,2328,16196,-1688
1460956,2,2312,16312,-1708
1463456,2,3040,16368,-1324
1465956,2,2608,16384,-1432
1468456,2,1968,16520,-1068
1470956,2,1704,16488,-916
1473456,2,1592,16396,-908
1475956,2,1424,16496,-640
1478456,2,1164,16252,-720
1480956,2,1296,16204,-1028
1483456,2,1968,16144,-1132
1485955,2,2424,16056,-1144
1488456,2,2292,15904,-1356
1490956,2,2380,15880,-1736
1493456,2,2632,15860,-1876
1495956,2,2376,15900,-1772
1498456,2,1500,15816,-1844
1500955,2,1080,15964,-1800
1503455,2,1260,16076,-1764
1505955,2,1252,16036,-1576
1508456,2,916,16232,-1700
1510956,2,1216,16184,-1644
1513456,2,2108,16440,-1560
1515956,2,2316,16304,-1452
1518456,2,2320,16436,-1812
1520956,2,2328,16376,-1672
1523456,2,2596,16344,-1600
1525956,2,2512,16132,-1392
1528456,2,1724,16208,-1556
1530956,2,1556,16024,-1344
1533456,2,1572,16040,-1248
1535956,2,1596,16144,-1144
1538456,2,1588,16172,-1416
1540956,2,1872,16252,-1164
1543456,2,2500,16360,-1272
1545956,2,2816,16416,-1284
1548456,2,2568,16352,-1268
1550955,2,2564,16388,-1336
1553455,2,2380,16336,-1108
1555955,2,2044,16428,-1220
1558456,2,1532,16388,-1176
1560956,2,1188,16324,-1028
1563456,2,1268,16128,-1160
1565955,2,1272,16208,-1500
1568456,2,1508,16116,-1392
1570956,2,1820,16060,-1564
1573456,2,2232,16048,-1676
1575956,2,2500,15980,-1740
1578456,2,2576,15924,-1952
1580956,2,2324,15956,-1988
1583456,2,2032,15888,-1856
1585956,2,1816,15960,-1816
1588456,2,1332,15828,-1684
1590956,2,1108,15888,-1676
1593456,2,1000,16168,-1540
1595956,2,1296,16244,-1432
1598456,2,1684,16280,-1348
1600955,2,1980,16384,-1336
1603456,2,2284,16412,-1432
1605956,2,2700,16464,-1100
1608456,2,2688,16364,-1228
1610956,2,2316,16380,-1284
1613456,2,2192,16264,-1464
1615955,2,1896,16256,-1316
1618456,2,1636,16084,-1332
1620956,2,1360,16076,-1428
1623456,2,1488,16096,-1464
1625956,2,1792,16044,-1348
1628456,2,2116,16208,-1436
1630956,2,2236,16256,-1240
1633456,2,2520,16384,-1300
1635956,2,2708,16396,-1348
1638456,2,2468,16508,-1132
1640956,2,2204,16468,-1316
1643456,2,1776,16392,-1376
1645956,2,1548,16324,-1328
1648456,2,1276,16208,-1464
1650955,2,1088,16060,-1560
1653456,2,1416,15952,-1744
1655956,2,1688,15948,-1960
1658456,2,1932,15800,-2084
1660956,2,2164,15824,-1920
1663456,2,2324,15976,-1864
1665956,2,2336,15872,-1748
1668456,2,2340,16044,-1624
1670956,2,1960,16156,-1500
1673456,2,1748,16160,-1184
1675956,2,1504,16232,-1300
1678456,2,1380,16320,-1268
1680956,2,1436,16344,-1240
1683456,2,1548,16336,-1128
1685956,2,1856,16348,-1300
1688456,2,2244,16228,-1212
1690956,2,2364,16292,-1324
1693456,2,2444,16208,-1472
1695956,2,2288,16072,-1640
1698456,2,2184,16144,-1592
1700955,2,1916,16168,-1572
1703455,2,1568,16044,-1288
1705955,2,1708,16080,-1392
1708456,2,1684,16260,-1348
1710956,2,1724,16252,-1024
1713456,2,1968,16280,-1300
1715956,2,2080,16360,-1388
1718456,2,2448,16400,-1444
1720956,2,2276,16380,-1708
1723456,2,2256,16288,-1788
1725956,2,2056,16268,-1732
1728456,2,1792,16156,-1884
1730956,2,1448,16144,-1804
1733456,2,1228,15924,-1880
1735956,2,1264,16108,-1696
1738456,2,1440,16128,-1628
1740956,2,1640,16000,-1536
1743456,2,1932,16068,-1308
1745956,2,2244,16180,-1300
1748456,2,2416,16216,-1260
1750955,2,2412,16188,-1200
1753456,2,2360,16192,-1248
1755956,2,2048,16164,-1180
1758456,2,1716,16164,-1292
1760956,2,1536,16148,-1240
1763456,2,1384,16032,-1292
1765955,2,1492,16140,-1276
1768456,2,1504,16104,-1244
1770956,2,1652,16036,-1388
1773456,2,2092,16272,-1304
1775956,2,2240,16280,-1468
1778456,2,2456,16208,-1264
1780956,2,2420,16348,-1372
1783456,2,2300,16376,-1472
1785956,2,1920,16228,-1408
1788456,2,1792,16304,-1360
1790956,2,1732,16148,-1440
1793456,2,1612,16176,-1512
1795956,2,1676,16304,-1700
1798456,2,1700,16164,-1580
1800955,2,2008,16308,-1816
1803455,2,2020,16276,-1776
1805955,2,2216,16316,-1792
1808456,2,2252,16244,-1740
1810956,2,2056,16364,-1548
1813456,2,2088,16268,-1516
1815955,2,1804,16200,-1504
1818456,2,1648,16204,-1308
1820956,2,1640,16164,-1440
1823456,2,1528,16084,-1436
1825956,2,1752,16060,-1448
1828456,2,1980,16064,-1432
1830956,2,2124,16008,-1440
1833456,2,2188,16072,-1392
1835956,2,2256,16148,-1348
1838456,2,2160,16224,-1384
1840956,2,2080,16108,-1104
1843456,2,1868,16028,-1344
1845956,2,1700,16248,-1268
1848456,2,1604,16228,-1224
1850955,2,1524,16076,-1124
1853456,2,1728,16192,-1280
1855956,2,1864,16160,-1312
1858456,2,2032,16248,-1424
1860956,2,2244,16260,-1444
1863456,2,2284,16184,-1532
1865955,2,2232,16140,-1472
1868456,2,2164,16192,-1612
1870956,2,1956,16204,-1372
1873456,2,1904,16164,-1688
1875956,2,1660,16224,-1640
1878456,2,1728,16172,-1484
1880956,2,1724,16184,-1576
1883456,2,1852,16308,-1464
1885956,2,1956,16400,-1616
1888456,2,2108,16276,-1556
1890956,2,2140,16240,-1636
1893456,2,2188,16276,-1652
1895956,2,2212,16220,-1464
1898456,2,2000,16212,-1372
1900955,2,1796,16124,-1504
1903455,2,1772,16184,-1400
1905955,2,1612,16172,-1372
1908456,2,1548,16100,-1396
1910956,2,1808,16108,-1176
1913456,2,1900,16128,-1224
1915956,2,2084,16152,-1196
1918456,2,2156,16132,-1232
1920956,2,2184,16208,-1188
1923456,2,2156,16236,-1400
1925956,2,2008,16116,-1376
1928456,2,1900,16120,-1440
1930956,2,1688,16112,-1572
1933456,2,1592,16064,-1424
1935956,2,1500,16120,-1508
1938456,2,1628,16256,-1520
1940956,2,1860,16124,-1508
1943456,2,1976,16208,-1652
1945956,2,2108,16208,-1612
1948456,2,2032,16328,-1516
1950955,2,2120,16276,-1328
1953455,2,2060,16232,-1544
1955955,2,2000,16232,-1628
1958456,2,1908,16256,-1556
1960956,2,1708,16212,-1716
1963456,2,1680,16088,-1564
1965956,2,1824,16204,-1572
1968456,2,1712,16184,-1544
1970956,2,1944,16212,-1560
1973456,2,2088,16268,-1460
1975956,2,2092,16160,-1300
1978456,2,2076,16280,-1404
1980956,2,2040,16316,-1352
1983456,2,2072,16296,-1316
1985956,2,1832,16240,-1244
1988456,2,1860,16120,-1216
1990956,2,1832,16252,-1196
1993456,2,1764,16148,-1252
1995956,2,1836,16204,-1448
1998456,2,1904,16096,-1448
2000955,2,1936,16116,-1572
2003455,2,2004,16084,-1520
2005955,2,2016,16008,-1556
2008456,2,2048,16108,-1424
2010956,2,1932,16112,-1572
2013456,2,1724,16156,-1352
2015955,2,1792,16172,-1464
2018456,2,1780,16176,-1420
2020956,2,1780,16264,-1536
2023456,2,1852,16244,-1496
2025956,2,1780,16236,-1568
2028456,2,1968,16156,-1396
2030956,2,1896,16228,-1580
2033456,2,2056,16144,-1572
2035956,2,2088,16212,-1580
2038456,2,2028,16184,-1508
2040956,2,1928,16196,-1560
2043456,2,1800,16252,-1552
2045956,2,1756,16172,-1328
2048456,2,1788,16216,-1448
