trial,t_us,phase,x_cm,y_cm,ax,ay,az,,,,,,,
1,605186,0,22.200,4.500,1496,16228,-1576,,,,,,,
1,608186,0,22.200,4.500,1628,16200,-1604,,,,,,,
1,610186,0,22.200,4.500,1732,16248,-1484,,,,,,,
1,613186,0,22.200,4.500,1680,16220,-1628,,,,,,,
1,615186,0,22.200,4.500,1724,16176,-1480,,,,,,,
1,618186,0,22.200,4.500,1684,16332,-1684,,,,,,,
1,620186,0,22.200,4.500,1504,16204,-1656,,,,,,,
1,623186,0,22.200,4.500,1476,16232,-1668,,,,,,,
1,625186,0,22.200,4.500,1480,16332,-1648,,,,,,,
1,628186,0,22.200,4.500,1468,16252,-1672,,,,,,,
1,630186,0,22.200,4.500,1464,16156,-1756,,,,,,,
1,633186,0,22.200,4.500,1452,16248,-1604,,,,,,,
1,635186,0,22.200,4.500,1476,16152,-1656,,,,,,,
1,638186,0,22.200,4.500,1612,16188,-1632,,,,,,,
1,640186,0,22.200,4.500,1732,16104,-1744,,,,,,,
1,643186,0,22.200,4.500,1632,16152,-1624,,,,,,,
1,645186,0,22.200,4.500,1532,16264,-1452,,,,,,,
1,648186,0,22.200,4.500,1624,16304,-1752,,,,,,,
1,650186,0,22.200,4.500,1508,16144,-1584,,,,,,,
1,653186,0,22.200,4.500,1596,16292,-1640,,,,,,,
1,655186,0,22.200,4.500,1460,16332,-1580,,,,,,,
1,658186,0,22.200,4.500,1500,16160,-1572,,,,,,,
1,660186,0,22.200,4.500,1508,16284,-1604,,,,,,,
1,663186,0,22.200,4.500,1512,16276,-1608,,,,,,,
1,665186,0,22.200,4.500,1564,16304,-1552,,,,,,,
1,668186,0,22.200,4.500,1496,16192,-1516,,,,,,,
1,670186,0,22.200,4.500,1612,16268,-1484,,,,,,,
1,673186,0,22.200,4.500,1628,16224,-1512,,,,,,,
1,675186,0,22.200,4.500,1552,16196,-1732,,,,,,,
1,678186,0,22.200,4.500,1808,16152,-1732,,,,,,,
1,680186,0,22.200,4.500,1488,16236,-1644,,,,,,,
1,683186,0,22.200,4.500,1544,16148,-1596,,,,,,,
1,685186,0,22.200,4.500,1504,16164,-1604,,,,,,,
1,688186,0,22.200,4.500,1544,16208,-1652,,,,,,,
1,690186,0,22.200,4.500,1520,16316,-1600,,,,,,,
1,693186,0,22.200,4.500,1460,16240,-1712,,,,,,,
1,695186,0,22.200,4.500,1496,16212,-1608,,,,,,,
1,698186,0,22.200,4.500,1420,16308,-1580,,,,,,,
1,700186,0,22.200,4.500,1440,16216,-1688,,,,,,,
1,703184,1,22.200,4.500,1608,16276,-1704,,,,,,,
1,705184,1,22.200,4.500,1472,16228,-1496,,,,,,,
1,708198,1,22.200,4.500,1616,16236,-1508,,,,,,,
1,710202,1,22.199,4.500,1516,16232,-1672,,,,,,,
1,713201,1,22.198,4.500,1656,16064,-1584,,,,,,,
1,715206,1,22.197,4.500,1696,16332,-1600,,,,,,,
1,718199,1,22.195,4.500,2168,15704,-948,,,,,,,
1,720199,1,22.194,4.500,312,16768,-2472,,,,,,,
1,723199,1,22.191,4.500,2892,13936,776,,,,,,,
1,725203,1,22.189,4.500,-1248,18444,-4004,,,,,,,
1,728198,1,22.185,4.500,572,15840,-1500,,,,,,,
1,730199,1,22.182,4.500,300,16548,-1800,,,,,,,
1,733198,1,22.177,4.500,540,14608,-448,,,,,,,
1,735199,1,22.174,4.500,844,17388,-952,,,,,,,
1,738201,1,22.168,4.500,1480,17624,-872,,,,,,,
1,740200,1,22.164,4.500,2192,14772,1488,,,,,,,
1,743199,1,22.158,4.500,2724,17184,424,,,,,,,
1,745199,1,22.153,4.500,1348,16028,716,,,,,,,
1,748205,1,22.146,4.500,3136,17084,1160,,,,,,,
1,750200,1,22.140,4.500,936,15272,1076,,,,,,,
1,753209,1,22.131,4.500,1652,16500,1132,,,,,,,
1,755199,1,22.124,4.500,1636,16108,1980,,,,,,,
1,758197,1,22.112,4.500,2168,16520,1472,,,,,,,
1,760204,1,22.103,4.500,1156,16060,1088,,,,,,,
1,763210,1,22.089,4.500,1956,16240,1620,,,,,,,
1,765205,1,22.079,4.500,952,15260,1436,,,,,,,
1,768204,1,22.062,4.500,1188,16728,440,,,,,,,
1,770206,1,22.049,4.500,1944,15940,1368,,,,,,,
1,773201,1,22.030,4.500,532,15404,1564,,,,,,,
1,775206,1,22.016,4.500,192,15712,1048,,,,,,,
1,778206,1,21.994,4.500,852,15524,1740,,,,,,,
1,780203,1,21.979,4.500,684,15364,1704,,,,,,,
1,783205,1,21.954,4.500,1948,15936,1396,,,,,,,
1,785203,1,21.937,4.500,2632,16856,1644,,,,,,,
1,788205,1,21.909,4.500,2336,16940,1972,,,,,,,
1,790205,1,21.890,4.500,3596,15952,2752,,,,,,,
1,793199,1,21.861,4.500,1968,17088,1292,,,,,,,
1,795202,1,21.840,4.500,2376,15480,2752,,,,,,,
1,798203,1,21.807,4.500,1724,17112,1360,,,,,,,
1,800203,1,21.784,4.500,1632,15420,2172,,,,,,,
1,803209,1,21.747,4.500,504,14380,2784,,,,,,,
1,805202,1,21.722,4.500,-908,17064,-540,,,,,,,
1,808201,1,21.683,4.500,1104,15292,1828,,,,,,,
1,810200,1,21.655,4.500,2156,15236,2596,,,,,,,
1,813212,1,21.612,4.500,1924,16856,516,,,,,,,
1,815199,1,21.583,4.500,1240,15672,1820,,,,,,,
1,818205,1,21.536,4.500,2592,16812,1916,,,,,,,
1,820201,1,21.505,4.500,2196,15528,2288,,,,,,,
1,823202,1,21.455,4.500,948,16696,2196,,,,,,,
1,825201,1,21.421,4.500,1400,15204,4220,,,,,,,
1,828206,1,21.368,4.500,2288,16436,3732,,,,,,,
1,830214,1,21.332,4.500,2744,14936,5292,,,,,,,
1,833201,1,21.276,4.500,3204,17276,3004,,,,,,,
1,835202,1,21.237,4.500,1524,16464,2924,,,,,,,
